Image Filename,Item Label,URL,Label
Artwork_wikidata_00000000.jpg,King Candaules,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-L%C3%A9on%20G%C3%A9r%C3%B4me%20-%20El%20rey%20Candaules.jpg,alcove
Artwork_wikidata_00000001.jpg,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",http://commons.wikimedia.org/wiki/Special:FilePath/Candaules%2C%20King%20of%20Lydia%2C%20Shews%20his%20Wife%20by%20Stealth%20to%20Gyges%2C%20One%20of%20his%20Ministers%2C%20as%20She%20Goes%20to%20Bed-WUS07220%20%28cropped%29.jpg,alcove
Artwork_wikidata_00000002.jpg,By a sickbed,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Ancher%20-%20By%20a%20sickbed%20-%20Google%20Art%20Project.jpg,alcove
Artwork_wikidata_00000003.jpg,Eastern Scene,http://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm%20von%20Gegerfeldt%20%281844-1920%29%20-%20Eastern%20Scene%20-%20VIS.771%20-%20Sheffield%20Galleries%20and%20Museums%20Trust.jpg,alley
Artwork_wikidata_00000004.jpg,Rooftop and Lane: View from the Artist's Studio,http://commons.wikimedia.org/wiki/Special:FilePath/Rooftop%20and%20Lane-%20View%20from%20the%20Artist%27s%20Studio%20%28gcf10282%29.jpg,alley
Artwork_wikidata_00000005.jpg,Rooftop and Pathway: View from the Artist's Studio,http://commons.wikimedia.org/wiki/Special:FilePath/Rooftop%20and%20Pathway-%20View%20from%20the%20Artist%27s%20Studio%20%28gcf10284%29.jpg,alley
Artwork_wikidata_00000006.jpg,Q106936835,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Baron-Martin%2C%20L%27apparition%2C%20Henri%20Martin.jpg,alley
Artwork_wikidata_00000007.jpg,Autumn in Bavaria,http://commons.wikimedia.org/wiki/Special:FilePath/Strasbourg%20%28Bas-Rhin%29%20-%20Mus%C3%A9e%20d%27Art%20moderne%20et%20contemporain%20-%20%22Automne%20en%20Bavi%C3%A8re%22%20%28Vassily%20Kandinsky%2C%201866-1944%29.jpg,alley
Artwork_wikidata_00000008.jpg,Q122926372,http://commons.wikimedia.org/wiki/Special:FilePath/Ruelle%20d%27Italie%20-%20Maria%20von%20Parmentier%20-%20Mus%C3%A9e%20Cond%C3%A9.jpeg,alley
Artwork_wikidata_00000009.jpg,The Agnew Clinic,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Agnew%20Clinic%20-%20Thomas%20Eakins.jpg,amphitheater
Artwork_wikidata_00000010.jpg,Theatre of Dionysus,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Bacon%20-%20Theatre%20of%20Dionysus%20-%201927.5.7%20-%20Smithsonian%20American%20Art%20Museum.jpg,amphitheater
Artwork_wikidata_00000011.jpg,Ruins of Asrum Asia Minor: Explored with Layard (Sir Henry Layard),http://commons.wikimedia.org/wiki/Special:FilePath/Miner%20Kilbourne%20Kellogg%20-%20Ruins%20of%20Asrum%20Asia%20Minor%2C%20Explored%20with%20Layard%20%28Sir%20Henry%20Layard%29%20-%201992.66.4%20-%20Smithsonian%20American%20Art%20Museum.jpg,amphitheater
Artwork_wikidata_00000012.jpg,Rustic Landscape with Aqueduct and Figures,http://commons.wikimedia.org/wiki/Special:FilePath/Rustic%20Landscape%20with%20Aqueduct%20and%20Figures%20by%20Jean-Baptiste%20Pillement.jpg,aqueduct
Artwork_wikidata_00000013.jpg,Landscape with Rustic Figures,http://commons.wikimedia.org/wiki/Special:FilePath/Landscape%20with%20Rustic%20Figures%20by%20Jean-Baptiste%20Pillement.jpg,aqueduct
Artwork_wikidata_00000014.jpg,Latium,http://commons.wikimedia.org/wiki/Special:FilePath/Enric%20Serra%20Auqu%C3%A9-%20Latium-%203824.JPG,aqueduct
Artwork_wikidata_00000015.jpg,Aqueduct near Rome,http://commons.wikimedia.org/wiki/Special:FilePath/Cole%20Thomas%20Aqueduct%20near%20Rome%201832.jpg,aqueduct
Artwork_wikidata_00000016.jpg,View of the Temple of Minerva Medica and an Aqueduct,http://commons.wikimedia.org/wiki/Special:FilePath/Anesi%20-%20minerva%20medica.jpg,aqueduct
Artwork_wikidata_00000017.jpg,Evening: Landscape with an Aqueduct,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9odore%20G%C3%A9ricault%20-%20Evening%2C%20Landscape%20with%20an%20Aqueduct.jpg,aqueduct
Artwork_wikidata_00000018.jpg,Peasants with Cattle by a Ruined Aqueduct,http://commons.wikimedia.org/wiki/Special:FilePath/BERCHEM%20Nicolaes%20Peasants%20With%20Cattle%20By%20A%20Ruined%20Aqueduct.jpg,aqueduct
Artwork_wikidata_00000019.jpg,Aqueducts in the Roman Campagna,http://commons.wikimedia.org/wiki/Special:FilePath/Ippolito%20Caffi%2C%20Acquedotti%20nella%20campagna%20romana%2C%201843.jpg,aqueduct
Artwork_wikidata_00000020.jpg,Aqueduct,http://commons.wikimedia.org/wiki/Special:FilePath/Aqueduct%20SAAM-1962.13.57%201.jpg,aqueduct
Artwork_wikidata_00000021.jpg,Ideal landscape with a young man killing a snake,http://commons.wikimedia.org/wiki/Special:FilePath/Franc%20Kav%C4%8Di%C4%8D%20-%20Idealna%20krajina%20z%20mladeni%C4%8Dem%2C%20ki%20ubija%20ka%C4%8Do.jpg,aqueduct
Artwork_wikidata_00000022.jpg,Landscape with Aqua Julia in Rome.,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Baptiste%20Pillement%20-%20Landscape%20with%20the%20ruins%20of%20Aqua%20Julia%20in%20Rome%20-%20M.Ob.911%20-%20National%20Museum%20in%20Warsaw.jpg,aqueduct
Artwork_wikidata_00000023.jpg,A View of Tivoli with the Anio Novus Aqueduct,http://commons.wikimedia.org/wiki/Special:FilePath/Claude-Joseph%20Vernet%20%281714-1789%29%20-%20A%20River%20Landscape%20with%20a%20Waterfall%2C%20and%20a%20Castle%20and%20Aqueduct%20above%20-%20138296.2%20-%20National%20Trust.jpg,aqueduct
Artwork_wikidata_00000024.jpg,Q72827058,http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20bertin%20paysage%202.JPG,aqueduct
Artwork_wikidata_00000025.jpg,An Italianate Townscape with Figures,http://commons.wikimedia.org/wiki/Special:FilePath/Bentvueghels%20exhibition%20Utrecht%202023%2C%2055%20%28cropped%29.jpeg,aqueduct
Artwork_wikidata_00000026.jpg,Q119701183,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Joseph%20Bonaventure%20Laurens%20-%20Arl%C3%A9siennes%20devant%20l%27aqueduc%20d%27Arles.jpg,aqueduct
Artwork_wikidata_00000027.jpg,The Oath of the Horatii,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%2C%20Le%20Serment%20des%20Horaces.jpg,arcade
Artwork_wikidata_00000028.jpg,Madonna of Chancellor Rolin,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Vierge%20du%20chancelier%20Rolin%20-%20Jan%20van%20Eyck%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%201271.jpg,arcade
Artwork_wikidata_00000029.jpg,A View through Three of the North-Western Arches of the Third Storey of the Coliseum,http://commons.wikimedia.org/wiki/Special:FilePath/C.W.%20Eckersberg%20-%20A%20View%20through%20Three%20Arches%20of%20the%20Third%20Storey%20of%20the%20Colosseum%20-%20Google%20Art%20Project.jpg,arcade
Artwork_wikidata_00000030.jpg,Theseus Finds His Father's Sword,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9s%C3%A9e%20retrouve%20l%27%C3%A9p%C3%A9e%20de%20son%20p%C3%A8re%20-%20Poussin%20-%20c1638.jpg,arcade
