File Name,Artist,Title,Earliest Date,Latest Date,Photo Archive,Details URL,Image Credits
938e6925-ab56-4334-9d50-47afffd04045.jpg,George Hendrik Breitner,De Baanbrugsteeg gezien vanaf de Haarlemmerdijk in de richting van de Vinkenstraat en de Brouwersgracht,1905,1905,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3529,https://lh5.ggpht.com/oQmYEvxf87m1smgoUDHGBBBye26ZVF-rg7Eu8EwrkmfVUWohIKkHwVfpXswIM0RnchM501f-5iMa2wwsWzwOegI6ugo=s0
0701e1c5-a437-47de-86c4-9af7541b943a.jpg,George Hendrik Breitner,Buurtje in Den Haag of Scheveningen,1880,1923,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3528,https://lh3.ggpht.com/ZDeF03C4wpoqw0Yd6K1pSEMg5SN476pSNhffFwL8obgXJtHsgHLAYkKActG82MpGmO_zva5oQqiOlcvTkfEe77n7inM=s0
938e6925-ab56-4334-9d50-47afffd04045.jpg,George Hendrik Breitner,De Baanbrugsteeg gezien vanaf de Haarlemmerdijk in de richting van de Vinkenstraat en de Brouwersgracht,1905,1905,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3529,https://lh5.ggpht.com/oQmYEvxf87m1smgoUDHGBBBye26ZVF-rg7Eu8EwrkmfVUWohIKkHwVfpXswIM0RnchM501f-5iMa2wwsWzwOegI6ugo=s0
0701e1c5-a437-47de-86c4-9af7541b943a.jpg,George Hendrik Breitner,Buurtje in Den Haag of Scheveningen,1880,1923,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3528,https://lh3.ggpht.com/ZDeF03C4wpoqw0Yd6K1pSEMg5SN476pSNhffFwL8obgXJtHsgHLAYkKActG82MpGmO_zva5oQqiOlcvTkfEe77n7inM=s0
9abe06c0-932c-4315-9e83-0c4facdbb2ef.jpg,Anton Mauve,De Torenlaan te Laren,1886,1886,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3143,https://lh3.googleusercontent.com/S5SqB4_CTJUuzHc4JspyxggJdzuet9Ja0513PTRq0HBkXBG94JkSDR11cXg45HF4fe9Xl6UZN2PX7XFqsjZe-kSqMg=s0
b551349f-031a-4c29-9b64-39e86e53eb97.jpg,Gerrit Willem Dijsselhof,Vissen in een aquarium,1890,1924,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-4678,https://lh3.ggpht.com/t5CY2Mjh-_zTjZBzI3CZyhhqfPOKWV7R2F86_zfeNtY753nuO4cOj6M1hW5YSTz86GgHeAlxfT-c7j7JZTt4GTw4i_ig=s0
e5d701b9-6eff-4a67-b122-a9564c3e2343.jpg,Gerrit Willem Dijsselhof,Snoeken en baarzen in een aquarium,1910,1920,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3586,https://lh6.ggpht.com/fHzlqlNEErnhG3gHcoNBIJSyNvX57jp-fmcNv5L5NXbzeA71HRTsNsXYv5JWMfUiBkRM8ES7nnQ_NBpw8DPWBbJ3UQ=s0
74a9b3f2-0578-4616-a602-e57cbf95604c.jpg,Gerrit Willem Dijsselhof,Goud- en zilvervisjes in een aquarium,1890,1922,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-2889,https://lh5.ggpht.com/fTaoYN_lI0toX6AwnRjO3tjGhwaopUlVfYhrdjuKFdZBSfylRXcP0K4AvR24ezp3HE0AF_eYTB8KNVxwVVisZTieTn0=s0
c6befa6f-89c5-4a3d-bce3-dee29e571fae.jpg,Rembrandt van Rijn,Landschap met stenen brug,1638,1638,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-1935,https://lh3.googleusercontent.com/_s3YWiBaZ5MLItdnoqsnPCn3vbvfRCWORbObvp0lj5HBbjP_5dtOAYzWyh30fcwAYFC_1J7XF4rXnHNSxZFtFSpM-EY=s0
87f71c38-0b97-4898-872a-5740429f5662.jpg,Willem Roelofs (I),De brug over de IJssel bij Doesburg,1889,1889,Rijksmuseum,http://www.rijksmuseum.nl/nl/collectie/SK-A-3606,https://lh3.googleusercontent.com/4VklngRNoTIlLKblBw2fPpeYopAOj0vJvFqEVzFBSWWlY1HqR6Z3o0TTszN3JHTYG3z_Z5rVUQOV94rM7EOa-eDAeQ=s0
